en,zh,notes
Nanotrasen,纳米传讯,公司名，沿用 SS13 中文社区译名
NT,NT,缩写保留
Syndicate,辛迪加,敌对阵营
Central Command,中央指挥部,CentComm
CentComm,中央指挥部,
station,空间站,
crew,船员,
shift,班次,一局游戏即一个班次
round,回合,
Command,指挥部,部门
Security,安保部,部门；security 泛指时译"安保"
Engineering,工程部,部门
Medical,医疗部,部门
Science,科研部,部门
Cargo,货运部,部门
Logistics,后勤部,部分分支称呼
Service,服务部,部门
Captain,舰长,
Head of Personnel,人事主管,HoP
Head of Security,安保主管,HoS
Chief Engineer,工程主管,CE
Chief Medical Officer,医疗主管,CMO
Research Director,研究主管,RD
Quartermaster,军需官,QM
Warden,典狱长,
Security Officer,安保干员,
Security Cadet,安保学员,
Detective,侦探,
Brigmedic,狱医,
Medical Doctor,医师,
Medical Intern,实习医师,
Paramedic,急救员,
Chemist,药剂师,
Psychologist,心理医生,
Scientist,科学家,
Research Assistant,研究助理,
Station Engineer,空间站工程师,
Atmospheric Technician,大气技师,
Technical Assistant,技术助理,
Cargo Technician,货运技师,
Salvage Specialist,打捞专员,
Bartender,酒保,
Chef,厨师,
Botanist,植物学家,
Janitor,清洁工,
Chaplain,牧师,
Librarian,图书管理员,
Lawyer,律师,
Clown,小丑,
Cluwne,受诅小丑,
Mime,哑剧演员,
Musician,乐手,
Passenger,乘客,
Visitor,访客,
Service Worker,服务人员,
Zookeeper,动物管理员,
Reporter,记者,
Boxer,拳击手,
Roboticist,机器人专家,
Geneticist,遗传学家,
Virologist,病毒学家,
Prisoner,囚犯,
Cyborg,赛博格,borg 同
Station AI,空间站AI,
ERT,应急响应队,Emergency Response Team
Death Squad,死亡小队,job-name-deathsquad 译"中央指挥部特工"
Nuclear Operative,核弹特工,nukie
Ninja,忍者,
Wizard,巫师,
Zombie,丧尸,
Revenant,怨灵,
pirate,海盗,
antagonist,敌对角色,antag
emergency shuttle,紧急撤离穿梭机,
evacuation,撤离,
shuttle,穿梭机,
grid,网格,地图结构概念
tile,地块,
airlock,气闸门,
maints,维护通道,maintenance
AME,反物质引擎,Antimatter Engine
singularity,奇点,
tesla,特斯拉,
supermatter,超物质,
plasma,等离子体,气体/材料
bluespace,蓝空间,
guidebook,指南手册,
AHelp,管理求助,admin help
MHelp,导师求助,mentor help
OOC,场外,聊天频道
LOOC,本地场外,聊天频道
IC,角色内,in-character
examine,检查,右键查看
hotbar,快捷栏,
loadout,配装,角色出生装备
trait,特质,
species,物种,
mindshield,心灵护盾,
borg,赛博格,
PDA,PDA,保留
ID card,ID卡,
access,权限,门禁
telecrystal,遥晶,TC，辛迪加货币
uplink,升链,辛迪加商店
